City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Zhigansk,RU,2022-05-25 02:34:07,66.7697,123.3711,36.0,95,100,17.45
209,Pozo Colorado,PY,2022-05-25 02:34:09,-23.4923,-58.7972,74.57,51,38,9.13
210,Skjervoy,NO,2022-05-25 02:34:12,70.0311,20.9714,53.6,66,100,17.11
211,Tessalit,ML,2022-05-25 02:34:16,20.1986,1.0114,83.82,24,50,9.98
212,Komsomolskiy,UZ,2022-05-25 02:34:17,40.4272,71.7189,70.52,46,87,0.0
213,Vestmannaeyjar,IS,2022-05-25 02:34:19,63.4427,-20.2734,44.4,80,100,5.79
214,Sukaraja,ID,2022-05-25 02:34:21,-7.4519,108.1944,84.78,67,98,3.78
215,Limulunga,ZM,2022-05-25 02:34:23,-15.0969,23.1376,49.8,48,0,4.5
216,Yatou,CN,2022-05-25 02:34:24,37.15,122.3833,64.35,80,100,13.35
217,Amapa,BR,2022-05-25 02:34:26,1.0,-52.0,70.75,99,27,1.9
218,Thompson,CA,2022-05-25 02:34:27,55.7435,-97.8558,46.56,36,20,2.3
219,Urumqi,CN,2022-05-25 02:34:28,43.801,87.6005,77.95,28,0,11.18
220,Lazarev,RU,2022-05-25 02:34:30,52.225,141.5131,33.57,96,95,5.14
221,Sao Joao Da Barra,BR,2022-05-25 02:31:09,-21.6403,-41.0511,70.5,77,30,7.02
222,Westport,US,2022-05-25 02:30:07,41.1415,-73.3579,58.62,80,0,4.0
223,Beyla,GN,2022-05-25 02:34:33,8.6833,-8.6333,66.58,99,100,1.97
224,Auki,SB,2022-05-25 02:34:36,-8.7676,160.7034,83.62,72,35,5.17
225,Wajima,JP,2022-05-25 02:34:37,37.4,136.9,81.28,47,20,5.75
226,Toba,JP,2022-05-25 02:34:39,34.4833,136.85,73.4,74,95,11.86
227,Champerico,GT,2022-05-25 02:35:43,14.3,-91.9167,81.1,77,44,6.24
228,Port Alfred,ZA,2022-05-25 02:35:47,-33.5906,26.891,59.18,91,61,1.01
229,Noormarkku,FI,2022-05-25 02:35:51,61.5927,21.8685,46.18,66,0,6.91
230,Sioux Lookout,CA,2022-05-25 02:35:54,50.1001,-91.917,60.87,48,40,4.61
231,Shenjiamen,CN,2022-05-25 02:35:56,29.9576,122.298,68.45,85,64,4.99
232,Hobyo,SO,2022-05-25 02:35:57,5.3505,48.5268,79.57,78,95,20.13
233,Itaituba,BR,2022-05-25 02:36:01,-4.2761,-55.9836,76.15,85,99,2.26
234,Beni Suef,EG,2022-05-25 02:36:05,29.0731,31.0979,69.93,50,0,7.18
235,Tungor,RU,2022-05-25 02:36:10,53.3808,142.9564,38.19,84,96,14.9
236,Locri,IT,2022-05-25 02:36:15,38.2414,16.2623,68.77,52,2,1.61
237,Russell,US,2022-05-25 02:36:19,32.3502,-85.1999,72.37,94,20,0.0
238,Nome,US,2022-05-25 02:36:20,64.5011,-165.4064,59.11,58,0,8.05
239,Nieuw Amsterdam,SR,2022-05-25 02:36:21,5.8833,-55.0833,79.02,90,100,7.94
240,Ilebo,CD,2022-05-25 02:36:23,-4.3167,20.5833,69.64,99,100,0.56
241,Souillac,MU,2022-05-25 02:36:24,-20.5167,57.5167,70.18,94,40,3.44
242,San Cristobal,VE,2022-05-25 02:36:27,7.7669,-72.225,75.38,98,96,3.04
243,Pokhvistnevo,RU,2022-05-25 02:36:32,53.6524,52.1274,50.54,69,88,5.28
244,Ferkessedougou,CI,2022-05-25 02:36:34,9.6,-5.2,72.68,91,99,6.11
245,Porto Walter,BR,2022-05-25 02:36:34,-8.2686,-72.7439,70.81,98,8,1.03
246,Lubumbashi,CD,2022-05-25 02:36:35,-11.6609,27.4794,50.94,61,75,3.62
247,Port Hawkesbury,CA,2022-05-25 02:36:36,45.6169,-61.3485,43.63,92,40,2.3
