City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
166,Marsh Harbour,BS,26.5412,-77.0636,86.0,69,16,9.13,few clouds
167,Luderitz,NA,-26.6481,15.1594,58.6,80,25,18.61,scattered clouds
168,East London,ZA,-33.0153,27.9116,66.15,85,95,5.17,overcast clouds
169,Rio Grande,BR,-32.035,-52.0986,62.71,58,0,14.32,clear sky
170,Chihuahua,MX,28.5,-106.0,81.19,53,83,4.56,broken clouds
171,Nikolskoye,RU,59.7035,30.7861,46.29,78,8,4.27,clear sky
172,Palana,RU,59.1167,159.9667,46.53,96,98,14.85,overcast clouds
173,Pevek,RU,69.7008,170.3133,41.04,82,59,2.15,broken clouds
174,Nishihara,JP,26.1842,127.7558,81.68,89,20,10.36,few clouds
175,Ndele,CF,8.4109,20.6473,69.82,97,52,1.54,broken clouds
176,Walvis Bay,NA,-22.9575,14.5053,54.55,87,6,5.75,clear sky
177,Yumen,CN,40.2833,97.2,66.31,14,0,1.5,clear sky
178,Sassandra,CI,4.95,-6.0833,73.35,92,10,7.09,clear sky
179,Coquimbo,CL,-29.9533,-71.3436,56.93,71,100,8.05,overcast clouds
180,Balaipungut,ID,1.05,101.2833,74.34,97,100,1.72,overcast clouds
181,Maridi,SS,4.9158,29.4742,66.96,96,22,4.32,few clouds
182,Lobito,AO,-12.3481,13.5456,71.1,81,0,2.46,clear sky
183,Belmonte,BR,-15.8631,-38.8828,73.63,59,0,7.54,clear sky
184,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,0,10.36,clear sky
185,Lodja,CD,-3.4833,23.4333,70.7,93,22,2.46,light rain
186,New Norfolk,AU,-42.7826,147.0587,47.91,80,98,1.99,overcast clouds
187,Otradnoye,RU,59.7775,30.8181,49.03,78,6,4.32,clear sky
188,Chuy,UY,-33.6971,-53.4616,54.91,55,0,11.83,clear sky
189,Caravelas,BR,-17.7125,-39.2481,73.81,66,3,8.72,clear sky
190,Guerrero Negro,MX,27.9769,-114.0611,84.67,55,6,5.57,clear sky
191,Leningradskiy,RU,69.3833,178.4167,37.67,88,69,11.63,broken clouds
192,Baiyin,CN,36.5583,104.2081,61.5,43,3,1.86,clear sky
193,Xihe,CN,31.6864,113.4659,68.94,76,0,3.44,clear sky
194,Cayenne,GF,4.9333,-52.3333,86.04,66,0,12.66,clear sky
195,Camacha,PT,33.0833,-16.3333,72.82,83,40,9.22,scattered clouds
196,Hilo,US,19.7297,-155.09,84.27,71,0,4.0,clear sky
197,Ca Mau,VN,9.1769,105.15,75.51,95,100,4.36,overcast clouds
198,Buraydah,SA,26.326,43.975,91.85,15,5,3.96,clear sky
199,Mlalo,TZ,-4.9333,38.9333,69.12,94,18,4.34,few clouds
200,Hervey Bay,AU,-25.2986,152.8535,61.34,60,63,11.01,broken clouds
201,Aksu,CN,41.1231,80.2644,78.24,17,4,6.85,clear sky
202,Okhotsk,RU,59.3833,143.3,45.84,62,0,16.15,clear sky
203,Mitsamiouli,KM,-11.3847,43.2844,75.69,76,10,6.11,clear sky
204,Ostersund,SE,63.1792,14.6357,50.61,81,100,8.05,overcast clouds
205,Kathmandu,NP,27.7167,85.3167,70.02,94,75,0.0,broken clouds
206,Innisfail,AU,-17.5333,146.0333,68.95,94,24,4.79,few clouds
207,Oistins,BB,13.0667,-59.5333,87.89,66,40,11.5,scattered clouds
208,Oranjemund,NA,-28.55,16.4333,56.23,89,23,12.01,few clouds
209,Sambava,MG,-14.2667,50.1667,68.02,89,38,10.27,scattered clouds
210,Marathon,US,44.9,-89.7668,60.04,93,100,7.54,moderate rain
211,Haines Junction,CA,60.7522,-137.5108,51.75,50,89,3.44,overcast clouds
212,Grand Gaube,MU,-20.0064,57.6608,67.37,70,0,3.0,clear sky
