City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
473,Quito,EC,70.75,light rain,-0.2299,-78.5249,
474,Awbari,LY,81.86,clear sky,26.5921,12.7805,
476,Trinidad,BO,76.98,broken clouds,-14.8333,-64.9,
477,Gediz,TR,71.24,clear sky,39.0417,29.41,
479,Lengshuijiang,CN,77.0,overcast clouds,27.6881,111.4294,
480,Tenenkou,ML,84.51,overcast clouds,14.4572,-4.9169,
484,Dhidhdhoo,MV,80.35,overcast clouds,6.8833,73.1,
488,Teguise,ES,71.82,few clouds,29.0605,-13.564,
489,Gandajika,CD,76.59,few clouds,-6.75,23.95,
490,Paka,MY,76.98,overcast clouds,4.6374,103.4368,
494,Ouango,CF,71.6,overcast clouds,4.3133,22.5552,
497,Brookings,US,72.05,scattered clouds,44.3114,-96.7984,
498,Kirakira,SB,78.49,clear sky,-10.4544,161.9205,
500,Siguiri,GN,72.81,light rain,11.6667,-9.5,
505,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,
506,Pandharpur,IN,75.33,overcast clouds,17.6667,75.3333,
507,Matara,LK,76.87,broken clouds,5.9485,80.5353,
509,Malakal,SS,70.88,light rain,9.5334,31.6605,
510,Isla Mujeres,MX,75.16,overcast clouds,21.2311,-86.731,
512,Yicheng,CN,70.95,broken clouds,31.3705,119.8703,
513,Korla,CN,78.58,clear sky,41.7597,86.1469,
517,Takoradi,GH,74.75,broken clouds,4.8845,-1.7554,
518,Axim,GH,74.25,broken clouds,4.8699,-2.2405,
523,Vao,NC,72.97,clear sky,-22.6667,167.4833,
524,Kawalu,ID,72.07,overcast clouds,-7.3817,108.2082,
527,Glendive,US,70.75,clear sky,47.1053,-104.7125,
529,Suez,EG,75.54,clear sky,29.9737,32.5263,
531,Sinnamary,GF,83.14,overcast clouds,5.3833,-52.95,
532,Mlonggo,ID,77.32,overcast clouds,-6.5333,110.7,
534,Elko,US,79.74,clear sky,41.0002,-115.5012,
536,Cartagena Del Chaira,CO,71.58,overcast clouds,1.3349,-74.8429,
538,Puerto Ayacucho,VE,84.49,overcast clouds,5.6639,-67.6236,
539,San Quintin,MX,79.3,broken clouds,30.4833,-115.95,
543,Hobyo,SO,76.73,scattered clouds,5.3505,48.5268,
544,Anuradhapura,LK,76.78,overcast clouds,8.3565,80.4173,
545,Westerville,US,79.79,overcast clouds,40.1262,-82.9291,
546,Sembakung,ID,72.75,overcast clouds,3.8167,117.25,
550,Lagos,NG,75.56,overcast clouds,6.5833,3.75,
552,Lagoa,PT,71.82,overcast clouds,39.05,-27.9833,
555,Fomboni,KM,75.69,clear sky,-12.28,43.7425,
556,Pokhara,NP,72.73,overcast clouds,28.2333,83.9833,
